id,age,sex,grade,frage_a,frage_b,frage_c,frage_d,frage_e,,,,
15,18-24,Weiblich,Abitur,Sehr wichtig,Oft,Glaubwürdig,Häufig,Ich würde das Produkt gar nicht mehr kaufen,,,,
45,18-24,Männlich,Abitur,Wichtig,Oft,Glaubwürdig,Häufig,Ich würde das Produkt gar nicht mehr kaufen,,,,
71,55 oder älter,Männlich,Fachabitur,Neutral,Sehr oft,Neutral,Häufig,Ich würde meine Freunde und Familie darüber informieren,,,,
2,18-24,Weiblich,Abitur,Neutral,Oft,Neutral,Häufig,Ich würde das Produkt gar nicht mehr kaufen,,,,
44,18-24,Männlich,Abitur,Wichtig,Oft,Neutral,Häufig,Ich würde das Produkt eher nicht mehr kaufen,,,,
20,18-24,Weiblich,Abitur,Wichtig,Oft,Neutral,Häufig,Ich würde das Produkt gar nicht mehr kaufen,,,,
11,18-24,Weiblich,Fachabitur,Wichtig,Oft,Neutral,Häufig,Ich würde eine Bewertung schreiben,,,,
35,18-24,Weiblich,Fachabitur,Wichtig,Oft,Neutral,Häufig,Ich würde das Produkt gar nicht mehr kaufen,,,,
13,18-24,Weiblich,Abitur,Wichtig,Manchmal,Neutral,Häufig,Ich würde meine Freunde und Familie darüber informieren,,,,
26,18-24,Weiblich,Abitur,Wichtig,Manchmal,Neutral,Häufig,Ich würde das Produkt eher nicht mehr kaufen,,,,
46,18-24,Männlich,Realschulabschluss,Sehr wichtig,Oft,Wenig glaubwürdig,Häufig,Ich würde das Produkt eher nicht mehr kaufen,,,,
73,18-24,Männlich,Abitur,Wichtig,Oft,Wenig glaubwürdig,Häufig,Ich würde das Produkt gar nicht mehr kaufen,,,,
30,18-24,Weiblich,Abitur,Wichtig,Oft,Wenig glaubwürdig,Häufig,Es würde mein Kaufverhalten nicht beeinflussen,,,,
34,18-24,Weiblich,Abitur,Wichtig,Manchmal,Gar nicht glaubwürdig,Manchmal,Ich würde meine Freunde und Familie darüber informieren,,,,
72,18-24,Weiblich,Abitur,Wichtig,Selten,Glaubwürdig,Manchmal,Ich würde das Produkt eher nicht mehr kaufen,,,,
33,18-24,Weiblich,Abitur,Sehr wichtig,Oft,Glaubwürdig,Manchmal,Ich würde das Produkt eher nicht mehr kaufen,,,,
49,35-44,Männlich,Bachelorabschluss,Sehr wichtig,Oft,Glaubwürdig,Manchmal,Ich würde eine Bewertung schreiben,,,,
16,18-24,Männlich,Abitur,Wichtig,Oft,Glaubwürdig,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
31,18-24,Weiblich,Abitur,Wichtig,Oft,Glaubwürdig,Manchmal,Ich würde das Produkt eher nicht mehr kaufen,,,,
59,18-24,Weiblich,Bachelorabschluss,Wichtig,Oft,Glaubwürdig,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
65,45-54,Weiblich,Realschulabschluss,Neutral,Manchmal,Glaubwürdig,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
66,18-24,Männlich,Abitur,Wichtig,Manchmal,Glaubwürdig,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
7,18-24,Männlich,Abitur,Wichtig,Oft,Neutral,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
8,18-24,Männlich,Abitur,Wichtig,Oft,Neutral,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
25,18-24,Männlich,Abitur,Neutral,Manchmal,Neutral,Manchmal,Ich würde das Produkt eher nicht mehr kaufen,,,,
37,18-24,Weiblich,Abitur,Neutral,Manchmal,Neutral,Manchmal,Ich würde das Produkt eher nicht mehr kaufen,,,,
4,25-34,Weiblich,Fachabitur,Neutral,Manchmal,Neutral,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
5,18-24,Weiblich,Abitur,Wichtig,Manchmal,Neutral,Manchmal,Ich würde das Produkt gar nicht mehr kaufen,,,,
58,18-24,Weiblich,Bachelorabschluss,Wichtig,Manchmal,Neutral,Manchmal,Ich würde meine Freunde und Familie darüber informieren,,,,
42,55 oder älter,Männlich,Bachelorabschluss,Sehr wichtig,Sehr oft,Sehr glaubwürdig,Manchmal,Ich würde das Produkt eher nicht mehr kaufen,,,,
43,18-24,Weiblich,Abitur,Wichtig,Oft,Wenig glaubwürdig,Manchmal,Ich würde meine Freunde und Familie darüber informieren,,,,
55,18-24,Männlich,Bachelorabschluss,Wichtig,Oft,Wenig glaubwürdig,Manchmal,Es würde mein Kaufverhalten nicht beeinflussen,,,,
24,18-24,Männlich,Fachabitur,Wichtig,Oft,Wenig glaubwürdig,Manchmal,Ich würde das Produkt eher nicht mehr kaufen,,,,
28,55 oder älter,Weiblich,Realschulabschluss,Wichtig,Oft,Wenig glaubwürdig,Manchmal,Ich würde meine Freunde und Familie darüber informieren,,,,
